submission_date,state,new_case
1/30/2022,MN,0
1/31/2022,MN,12088
2/1/2022,MN,21337
2/2/2022,MN,3910
2/3/2022,MN,5448
2/4/2022,MN,6610
2/5/2022,MN,0
2/6/2022,MN,0
2/7/2022,MN,5826
2/8/2022,MN,10395
2/9/2022,MN,3823
2/10/2022,MN,4453
2/11/2022,MN,4846
2/12/2022,MN,0
2/13/2022,MN,0
2/14/2022,MN,4330
2/15/2022,MN,6433
2/16/2022,MN,1460
2/17/2022,MN,1815
2/18/2022,MN,2223
2/19/2022,MN,0
2/20/2022,MN,0
2/21/2022,MN,0
2/22/2022,MN,1992
2/23/2022,MN,3929
2/24/2022,MN,1010
2/25/2022,MN,904
2/26/2022,MN,0
2/27/2022,MN,0
2/28/2022,MN,1079
3/1/2022,MN,2076
3/2/2022,MN,539
3/3/2022,MN,824
3/4/2022,MN,796
3/5/2022,MN,0
3/6/2022,MN,0
3/7/2022,MN,883
3/8/2022,MN,1455
3/9/2022,MN,571
3/10/2022,MN,592
3/11/2022,MN,557
3/12/2022,MN,0
3/13/2022,MN,0
3/14/2022,MN,475
3/15/2022,MN,471
3/16/2022,MN,868
3/17/2022,MN,424
3/18/2022,MN,506
3/19/2022,MN,0
3/20/2022,MN,0
3/21/2022,MN,419
3/22/2022,MN,1024
3/23/2022,MN,270
3/24/2022,MN,461
3/25/2022,MN,483
3/26/2022,MN,0
3/27/2022,MN,0
3/28/2022,MN,464
3/29/2022,MN,970
3/30/2022,MN,347
3/31/2022,MN,499
4/1/2022,MN,539
4/2/2022,MN,0
4/3/2022,MN,0
4/4/2022,MN,467
4/5/2022,MN,1087
4/6/2022,MN,359
4/7/2022,MN,615
4/8/2022,MN,608
4/9/2022,MN,0
4/10/2022,MN,0
4/11/2022,MN,673
4/12/2022,MN,1334
4/13/2022,MN,682
4/14/2022,MN,852
4/15/2022,MN,872
4/16/2022,MN,0
4/17/2022,MN,0
4/18/2022,MN,928
4/19/2022,MN,1737
4/20/2022,MN,976
4/21/2022,MN,1117
4/22/2022,MN,1463
4/23/2022,MN,0
4/24/2022,MN,0
4/25/2022,MN,1158
4/26/2022,MN,2558
4/27/2022,MN,1364
4/28/2022,MN,1636
4/29/2022,MN,1972
4/30/2022,MN,0
5/1/2022,MN,0
5/2/2022,MN,1731
5/3/2022,MN,2500
5/4/2022,MN,2567
5/5/2022,MN,2277
5/6/2022,MN,2333
5/7/2022,MN,0
5/8/2022,MN,0
5/9/2022,MN,2660
5/10/2022,MN,5116
5/11/2022,MN,1790
5/12/2022,MN,2612
5/13/2022,MN,2914
5/14/2022,MN,0
5/15/2022,MN,0
5/16/2022,MN,2580
5/17/2022,MN,4581
5/18/2022,MN,2117
5/19/2022,MN,2120
5/20/2022,MN,2418
5/21/2022,MN,0
5/22/2022,MN,0
5/23/2022,MN,2146
5/24/2022,MN,4029
5/25/2022,MN,1518
5/26/2022,MN,2162
5/27/2022,MN,2264
5/28/2022,MN,0
5/29/2022,MN,0
5/30/2022,MN,0
5/31/2022,MN,2186
6/1/2022,MN,1780
6/2/2022,MN,4812
6/3/2022,MN,1964
6/4/2022,MN,0
6/5/2022,MN,0
6/6/2022,MN,2152
6/7/2022,MN,4057
6/8/2022,MN,1374
6/9/2022,MN,1811
6/10/2022,MN,2027
6/11/2022,MN,0
6/12/2022,MN,0
6/13/2022,MN,1549
6/14/2022,MN,3834
6/15/2022,MN,1356
6/16/2022,MN,1543
6/17/2022,MN,1887
6/18/2022,MN,0
6/19/2022,MN,0
6/20/2022,MN,0
6/21/2022,MN,3103
6/22/2022,MN,4584
6/23/2022,MN,0
6/24/2022,MN,1697
6/25/2022,MN,0
6/26/2022,MN,0
6/27/2022,MN,1510
6/28/2022,MN,3351
6/29/2022,MN,1281
6/30/2022,MN,0
7/1/2022,MN,1403
7/2/2022,MN,0
7/3/2022,MN,0
7/4/2022,MN,0
7/5/2022,MN,0
7/6/2022,MN,0
7/7/2022,MN,7244
7/8/2022,MN,0
7/9/2022,MN,0
7/10/2022,MN,0
7/11/2022,MN,0
7/12/2022,MN,0
7/13/2022,MN,0
7/14/2022,MN,9521
7/15/2022,MN,0
7/16/2022,MN,0
7/17/2022,MN,0
7/18/2022,MN,0
7/19/2022,MN,0
7/20/2022,MN,0
7/21/2022,MN,9500
7/22/2022,MN,0
7/23/2022,MN,0
7/24/2022,MN,0
7/25/2022,MN,0
7/26/2022,MN,0
7/27/2022,MN,0
7/28/2022,MN,10056
7/29/2022,MN,0
7/30/2022,MN,0
7/31/2022,MN,0
8/1/2022,MN,0
8/2/2022,MN,0
8/3/2022,MN,0
8/4/2022,MN,10442
8/5/2022,MN,0
8/6/2022,MN,0
8/7/2022,MN,0
8/8/2022,MN,0
8/9/2022,MN,0
8/10/2022,MN,0
8/11/2022,MN,10240
8/12/2022,MN,0
8/13/2022,MN,0
8/14/2022,MN,0
8/15/2022,MN,0
8/16/2022,MN,0
8/17/2022,MN,0
8/18/2022,MN,9948
8/19/2022,MN,0
8/20/2022,MN,0
8/21/2022,MN,0
